[0.7996342494643877  0.0973164478831683  0.10304930265244411]
[0.7993327938703622  0.0958470571932997  0.10482014910349069]
[0.8001298536331132  0.10017430227444526 0.09969584409244159]
[0.8000794721699032  0.10019266501435965 0.09972786283459383]
[0.8001080805941218  0.10019446465534285 0.09969745645125726]
[0.80015683276906    0.10007501584658764 0.09976815142392328]
[0.7989641438057746  0.09984759501151326 0.10118835770270576]
[0.8003537844401757  0.101114906612167   0.09853131187201188]
[0.8001162502902508  0.1001900200541659  0.09969373030147845]
[0.8001608151382383  0.10003116183748227 0.09980802403986931]
[6.7700392825212852e-01 3.2299607532212632e-01 4.7022000940611445e-12]
[0.799999237766464   0.10000085751272804 0.10000085751272804]
[0.7976572236810223  0.10166112478572584 0.10068165253325197]
[0.8001949229069091  0.09990253854654549 0.09990253854654549]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8002203483631384  0.09985013086099162 0.09993249555201825]
[0.8 0.1 0.1]
[0.8000014375399978  0.1000064689299898  0.09999928123000114]
[0.7992195986651125  0.09990232483313906 0.10087853935436383]
[0.799992 0.100009 0.100009]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8001923725636422  0.09990381371817893 0.09990391371817893]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8001951013043705  0.09990244934781474 0.09990244934781474]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.7999926052417323  0.10000831910305116 0.10000831910305116]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8001901403408274  0.09990492982958638 0.09990492982958638]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
[0.8 0.1 0.1]
